"file_name","source_path","target_path","status"
"simulation_results_1022.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_1022.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_1022.rds","offloaded"
"simulation_results_1023.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_1023.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_1023.rds","offloaded"
"simulation_results_1024.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_1024.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_1024.rds","offloaded"
"simulation_results_103.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_103.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_103.rds","offloaded"
"simulation_results_104.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_104.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_104.rds","offloaded"
"simulation_results_105.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_105.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_105.rds","offloaded"
"simulation_results_106.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_106.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_106.rds","offloaded"
"simulation_results_107.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_107.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_107.rds","offloaded"
"simulation_results_108.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_108.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_108.rds","offloaded"
"simulation_results_109.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_109.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_109.rds","offloaded"
"simulation_results_11.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_11.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_11.rds","offloaded"
"simulation_results_110.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_110.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_110.rds","offloaded"
"simulation_results_111.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_111.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_111.rds","offloaded"
"simulation_results_112.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_112.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_112.rds","offloaded"
"simulation_results_113.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_113.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_113.rds","offloaded"
"simulation_results_114.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_114.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_114.rds","offloaded"
"simulation_results_115.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_115.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_115.rds","offloaded"
"simulation_results_116.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_116.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_116.rds","offloaded"
"simulation_results_117.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_117.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_117.rds","offloaded"
"simulation_results_118.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_118.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_118.rds","offloaded"
"simulation_results_119.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_119.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_119.rds","offloaded"
"simulation_results_12.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_12.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_12.rds","offloaded"
"simulation_results_120.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_120.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_120.rds","offloaded"
"simulation_results_121.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_121.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_121.rds","offloaded"
"simulation_results_122.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_122.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_122.rds","offloaded"
"simulation_results_123.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_123.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_123.rds","offloaded"
"simulation_results_124.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_124.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_124.rds","offloaded"
"simulation_results_125.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_125.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_125.rds","offloaded"
"simulation_results_126.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_126.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_126.rds","offloaded"
"simulation_results_127.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_127.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_127.rds","offloaded"
"simulation_results_128.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_128.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_128.rds","offloaded"
"simulation_results_129.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_129.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_129.rds","offloaded"
"simulation_results_13.rds","/home/cosmo/net/malaria/Cosmo/MINT/archive/simulation_controller/20241119-144454-4092aeaf/simulation_results_13.rds","/home/cosmo/Documents/segMINT/offload_dir/outputs/simulation_results_13.rds","offloaded"
